Filename, Created Date & Time, Model, Prediction 1 Name, Prediction 1 Value, Prediction 1 Fit, Prediction 2 Name, Prediction 2 Value, Prediction 2 Fit, GPS Fix Quality, Latitude, Longitude
EARLY_0_20.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,15.55646,0, N/A, N/A, N/A,2,-12.740365,131.1756134
EARLY_0_21.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,19.92143,0.1060831, N/A, N/A, N/A,1.5,-12.7412815,131.1750641
EARLY_0_22.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,16.78348,0, N/A, N/A, N/A,1.5,-12.7412682,131.1750641
EARLY_0_23.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,15.73678,0, N/A, N/A, N/A,2.0999999,-12.7412663,131.1750641
EARLY_0_24.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,15.79619,0, N/A, N/A, N/A,2.0999999,-12.7412663,131.1750641
EARLY_0_25.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,15.66456,0, N/A, N/A, N/A,2.0999999,-12.7412663,131.1750641
EARLY_0_26.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,20.89853,0.1941281, N/A, N/A, N/A,2.7,-12.7413502,131.1750488
EARLY_0_27.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,16.07511,0, N/A, N/A, N/A,1.6,-12.741437,131.1751556
EARLY_0_28.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,16.08969,0, N/A, N/A, N/A,1.6,-12.741437,131.1751556
EARLY_0_29.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,18.74087,2.91E-05, N/A, N/A, N/A,1.6,-12.741437,131.1751556
EARLY_0_30.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,15.22128,0, N/A, N/A, N/A,1.5,-12.7414513,131.1751862
EARLY_0_31.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,16.47377,0, N/A, N/A, N/A,50,-12.7415218,131.1750488
EARLY_0_32.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,17.48096,0, N/A, N/A, N/A,1.6,-12.74154,131.1750641
EARLY_0_33.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,16.95395,0, N/A, N/A, N/A,50,-12.7419348,131.175293
EARLY_0_34.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,17.37463,0, N/A, N/A, N/A,2.2,-12.7419453,131.1753082
EARLY_0_35.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,17.9565,0, N/A, N/A, N/A,1.6,-12.7420368,131.1751862
EARLY_0_36.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,17.44109,0, N/A, N/A, N/A,1.7,-12.7420387,131.1751862
EARLY_0_37.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,18.68893,0.1277757, N/A, N/A, N/A,1.5,-12.7421665,131.1752014
EARLY_0_38.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,15.56989,0, N/A, N/A, N/A,1.5,-12.7421503,131.1752014
EARLY_0_39.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,16.54312,0, N/A, N/A, N/A,1.5,-12.7421503,131.1752014
EARLY_0_40.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,16.17544,0, N/A, N/A, N/A,1.7,-12.7423201,131.1753082
EARLY_0_41.f750dat, 19/09/2016 11:56:41 AM, AHFCaly2016-08-16, Reference Value #1,18.2637,0, N/A, N/A, N/A,1.7,-12.7423201,131.1753082
